Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
34,136.27320670902327,207.01186427330796,4.874092644202896,-0.332855542838722,0.0050000000000000044,0.010000000000000009,0,5112.888888888889,0.00017969749733502474,0.00017969749733502474,0.00017969749733502474,34_33:0.019669746634452007; 34_35:0.003993240295608547,34_33:561.7777777777777; 34_35:512
35,188.78164259889576,238.51950730729993,4.6208583334879885,-0.33511084914894984,0.016666666666666607,0.010000000000000009,0.023333333333333334,5112.888888888889,0.00018980894700766626,0.00018980894700766626,0.00018980894700766626,35_36:0.009148979155372383; 35_34:0.003993240295608547; 35_40:0.027330378238166447,35_36:561.7777777777777; 35_34:561.7777777777777; 35_40:512
36,81.51129301299054,29.85929018272071,4.762897650525181,-0.31596662537256814,0.07333333333333336,0.07,0.07666666666666666,5112.888888888889,0.00036825186919141014,0.00036825186919141014,0.00036825186919141014,36_37:0.021726679736114918; 36_35:0.009148979155372383,36_37:561.7777777777777; 36_35:512
37,191.95945274855842,106.08019072682718,4.844392296338855,-0.33330425336569114,0.020000000000000018,0.023333333333333317,0.016666666666666666,5112.888888888889,0.0001938123009671612,0.0001938123009671612,0.0001938123009671612,37_36:0.021726679736114918; 37_26:0.05198869824867955,37_36:512; 37_26:512
38,81.74400578835964,131.47165583565712,4.582502831232954,-0.33458213050605423,0.062100000000000044,0.09899999999999998,0.0252,5112.888888888889,0.0021339572493972877,0.0021339572493972877,0.0021339572493972877,38_27:0.006790886126509216; 38_41:1,38_27:561.7777777777777; 38_41:561.7777777777777
39,83.84433896297999,62.99706992345615,4.729111413017959,-0.334461962848998,0.015000000000000013,0.030000000000000027,0,5112.888888888889,0.00022681842835749094,0.00022681842835749094,0.00022681842835749094,39_31:0.011217241080941798; 39_45:0.005309078732877087,39_31:512; 39_45:561.7777777777777
40,26.552158944065933,145.9454547106066,4.794206679422651,-0.332217810465886,0.049800000000000066,0.09540000000000004,0.0042,5112.888888888889,0.0005893121652457126,0.0005893121652457126,0.0005893121652457126,40_49:0.03505387287888703; 40_35:0.027330378238166447,40_49:512; 40_35:561.7777777777777
41,249.5558102246814,231.04532373666115,4.669031042364863,-0.33557521946071933,0.013900000000000023,0.01739999999999997,0.0104,5112.888888888889,0.00020673978067016136,0.00020673978067016136,0.00020673978067016136,41_38:1; 41_42:1,41_38:512; 41_42:512
42,197.80985415945594,104.8602623143515,4.764640605276358,-0.3322895893495269,0.08166666666666667,0.1433333333333333,0.02,5112.888888888889,0.0003846607670353937,0.0003846607670353937,0.0003846607670353937,42_43:0.018429818065248738; 42_41:1,42_43:512; 42_41:561.7777777777777
43,135.05895285637985,165.63871213319084,4.632091841632635,-0.33599201208733087,0.03166666666666673,0.033333333333333326,0.03,5112.888888888889,0.0005210082658677901,0.0005210082658677901,0.0005210082658677901,43_42:0.018429818065248738; 43_52:0.01182470269936195; 43_44:0.009131403380400804,43_42:561.7777777777777; 43_52:561.7777777777777; 43_44:561.7777777777777
